"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Delete task with invalid Id","","Fri Dec 06 15:58:28 MSK 2024","passed","Fri Dec 06 15:58:28 MSK 2024","","Negative tests per request /todo","com.example.testtask.NegativeTests","deleteTaskInvalidId"
"","9","[negative]  Get list with params [1] offset=30242453535345678909876302424535353456789098763024245353534567890987630242453535345678909876, limit=23","","Fri Dec 06 15:58:29 MSK 2024","passed","Fri Dec 06 15:58:29 MSK 2024","","Negative tests per request /todo","com.example.testtask.NegativeTests","getListWithNegativeParams"
"","697","[negative] Delete task Unauthorized","","Fri Dec 06 15:58:28 MSK 2024","passed","Fri Dec 06 15:58:28 MSK 2024","","Negative tests per request /todo","com.example.testtask.NegativeTests","deleteTaskUnauthorized"
"","21","Update task one param and check result","","Fri Dec 06 15:58:29 MSK 2024","passed","Fri Dec 06 15:58:29 MSK 2024","","Tests per request /todo","com.example.testtask.SmokeTests","updateTaskOneField"
"","8","Get list with params","","Fri Dec 06 15:58:29 MSK 2024","passed","Fri Dec 06 15:58:29 MSK 2024","","Tests per request /todo","com.example.testtask.SmokeTests","getListWithParams"
"","293","testWebSocketConnection()","","Fri Dec 06 15:58:29 MSK 2024","passed","Fri Dec 06 15:58:29 MSK 2024","","WebSocketTest","com.example.testtask.WebSocketTest","testWebSocketConnection"
"","7","[negative]  Get list with params [2] offset=0, limit=-213213","","Fri Dec 06 15:58:29 MSK 2024","passed","Fri Dec 06 15:58:29 MSK 2024","","Negative tests per request /todo","com.example.testtask.NegativeTests","getListWithNegativeParams"
"","14","[negative] Create task invalid params id = -1243414","","Fri Dec 06 15:58:29 MSK 2024","passed","Fri Dec 06 15:58:29 MSK 2024","","Negative tests per request /todo","com.example.testtask.NegativeTests","postListInvalidId"
"","18","[negative] Put task Unauthorized","","Fri Dec 06 15:58:28 MSK 2024","failed","Fri Dec 06 15:58:28 MSK 2024","","Negative tests per request /todo","com.example.testtask.NegativeTests","putTaskUnauthorized"
"","20","Update task and check result","","Fri Dec 06 15:58:29 MSK 2024","passed","Fri Dec 06 15:58:29 MSK 2024","","Tests per request /todo","com.example.testtask.SmokeTests","updateTask"
"","18","Create task and check result","","Fri Dec 06 15:58:29 MSK 2024","passed","Fri Dec 06 15:58:29 MSK 2024","","Tests per request /todo","com.example.testtask.SmokeTests","postList"
"","51","[negative] Update task with invalid body","","Fri Dec 06 15:58:28 MSK 2024","passed","Fri Dec 06 15:58:29 MSK 2024","","Negative tests per request /todo","com.example.testtask.NegativeTests","updateTaskInvalidBody"
"","16","[negative] Create task invalid params text = null","","Fri Dec 06 15:58:28 MSK 2024","passed","Fri Dec 06 15:58:28 MSK 2024","","Negative tests per request /todo","com.example.testtask.NegativeTests","postListInvalidText"
"","18","[negative] Create task invalid params","","Fri Dec 06 15:58:29 MSK 2024","passed","Fri Dec 06 15:58:29 MSK 2024","","Negative tests per request /todo","com.example.testtask.NegativeTests","postListDuplicateTask"
"","67","[negative]  Update task with invalid id","","Fri Dec 06 15:58:28 MSK 2024","passed","Fri Dec 06 15:58:28 MSK 2024","","Negative tests per request /todo","com.example.testtask.NegativeTests","updateTaskNotExist"
"","6","[negative] Create task invalid params id = null","","Fri Dec 06 15:58:29 MSK 2024","passed","Fri Dec 06 15:58:29 MSK 2024","","Negative tests per request /todo","com.example.testtask.NegativeTests","postListInvalidId"
